question_text,category,difficulty,correct_answer,option_1,option_2,option_3,option_4
Hệ điều hành nào phổ biến trên máy chủ?,IT,easy,option_2,Windows,Linux,macOS,Android
Đơn vị nhỏ nhất của dữ liệu là gì?,IT,easy,option_1,Byte,Kilobyte,Megabyte,Gigabyte
Phần cứng nào là bộ não của máy tính?,IT,easy,option_1,CPU,RAM,Ổ cứng,Màn hình
Thiết bị nào dùng để nhập liệu vào máy tính?,IT,easy,option_2,Máy in,Chuột,Màn hình,Ổ cứng
Hệ điều hành nào là mã nguồn mở?,IT,easy,option_3,Windows,macOS,Linux,iOS
Phần mềm nào sau đây là trình duyệt web?,IT,easy,option_2,Photoshop,Chrome,Excel,Word
Kích thước file nhỏ hơn 1MB gọi là gì?,IT,easy,option_1,Kilobyte,Byte,Megabyte,Gigabyte
Công cụ nào dùng để tạo và chỉnh sửa văn bản?,IT,easy,option_3,Paint,Chrome,Word,Outlook
Mạng toàn cầu Internet bắt nguồn từ dự án của quốc gia nào?,IT,easy,option_1,Mỹ,Nga,Anh,Đức
Đâu là thiết bị lưu trữ ngoài?,IT,easy,option_3,RAM,CPU,USB,Màn hình
Hệ điều hành nào dùng cho điện thoại iPhone?,IT,easy,option_2,Android,iOS,Windows,BlackBerry OS
HTML được dùng để làm gì?,IT,easy,option_3,Viết phần mềm,Lập trình ứng dụng,Tạo trang web,Bảo mật mạng
Đâu là giao thức truyền tải dữ liệu?,IT,easy,option_1,HTTP,HTML,CSS,FTP
Đâu là phần cứng của máy tính?,IT,easy,option_2,Windows,CPU,Microsoft Word,Photoshop
Phần mềm nào thuộc nhóm văn phòng?,IT,easy,option_2,Photoshop,Excel,Adobe Reader,Google Chrome
Để kết nối internet ta cần thiết bị gì?,IT,easy,option_2,CPU,Modem,RAM,Ổ cứng
Đâu là giao thức bảo mật?,IT,easy,option_3,HTTP,FTP,HTTPS,POP3
Máy tính dùng để xử lý các phép toán học gọi là gì?,IT,easy,option_3,Máy in,Máy tính bỏ túi,Máy tính điện tử,Máy tính khoa học
Đâu là chức năng của RAM?,IT,easy,option_1,Lưu trữ dữ liệu tạm thời,Xử lý đồ họa,Lưu trữ lâu dài,Truyền tải dữ liệu
Phím tắt để sao chép trên Windows là gì?,IT,easy,option_2,Ctrl + A,Ctrl + C,Ctrl + V,Ctrl + X
Mạng nội bộ (LAN) là gì?,IT,easy,option_2,Mạng kết nối Internet,Mạng nội bộ,Mạng không dây,Mạng ngoại vi
Đâu là một phần của địa chỉ email?,IT,easy,option_1,@,#,$,&
Thiết bị nào là thiết bị đầu ra?,IT,easy,option_1,Loa,Bàn phím,Chuột,Ổ cứng
Đâu là công cụ tìm kiếm trên Internet?,IT,easy,option_3,Photoshop,Excel,Google,Paint
Mạng Wi-Fi hoạt động qua đường nào?,IT,easy,option_3,Dây cáp,Vệ tinh,Sóng vô tuyến,Ánh sáng
Đâu là hệ điều hành mã nguồn đóng?,IT,easy,option_1,Windows,Linux,Android,Ubuntu
URL là viết tắt của gì?,IT,easy,option_2,User Registration List,Uniform Resource Locator,Ultimate Reference Link,User Resource Locator
Email là viết tắt của gì?,IT,easy,option_1,Electronic Mail,Electric Mail,Electromagnetic Mail,Easy Mail
Đâu là loại máy tính siêu nhỏ?,IT,easy,option_4,Siêu máy tính,Máy tính để bàn,Máy tính xách tay,Máy tính bảng
Công cụ nào dùng để phát triển web?,IT,easy,option_2,Excel,Dreamweaver,Paint,Word
HTML là viết tắt của gì?,IT,easy,option_1,Hyper Text Markup Language,Hyperlink Text Manager,Hyperlinking Tool Machine,High Text Mapping Layout
Cửa sổ trong Windows được mở bằng cách nào?,IT,easy,option_1,Kích đúp vào biểu tượng,Nhấn Ctrl + W,Nhấn Alt + F4,Nhấn Shift + Tab
Đâu là phần mở rộng của tệp ảnh?,IT,easy,option_3,.exe,.docx,.jpg,.xlsx
Để lướt web ẩn danh ta nên dùng gì?,IT,easy,option_2,Chế độ bình thường,Chế độ ẩn danh,Chế độ ngoại tuyến,Chế độ văn bản
Đơn vị đo dung lượng nào lớn nhất?,IT,easy,option_4,Byte,Kilobyte,Megabyte,Terabyte
Để tăng âm lượng trong máy tính ta dùng phím nào?,IT,easy,option_3,Ctrl,Alt,Phím Tăng âm lượng,Phím Giảm âm lượng
Đâu là phần mềm chống virus?,IT,easy,option_3,Microsoft Word,Excel,Norton,Google Chrome
Lệnh in trên Windows là gì?,IT,easy,option_2,Ctrl + C,Ctrl + P,Ctrl + S,Ctrl + V
Máy tính dùng để tính toán thời gian gọi là gì?,IT,easy,option_3,Máy in,Đồng hồ,Máy tính thời gian,Máy tính
Ngôn ngữ nào phổ biến cho lập trình web?,IT,easy,option_3,Java,Python,JavaScript,HTML
Để đăng xuất tài khoản Google ta vào phần nào?,IT,easy,option_3,Hồ sơ,Đăng nhập,Đăng xuất,Tài khoản
Chế độ ""máy bay"" trong điện thoại có tác dụng gì?,IT,easy,option_1,Chặn sóng,Tăng sóng,Tắt âm thanh,Tăng âm lượng
Một máy tính được kết nối với Internet qua mạng không dây gọi là gì?,IT,easy,option_2,Mạng có dây,Wi-Fi,Ethernet,Mạng dây
Phần mềm nào là trình duyệt?,IT,easy,option_1,Firefox,Paint,Word,Excel
Google là gì?,IT,easy,option_2,Một phần mềm,Một trang web,Một hệ điều hành,Một máy tính
Đơn vị nào lớn hơn Gigabyte?,IT,easy,option_2,Megabyte,Terabyte,Byte,Kilobyte
Để tìm kiếm thông tin trên web ta cần gì?,IT,easy,option_2,Bộ xử lý,Trình duyệt,RAM,Bộ nhớ
Máy in dùng để làm gì?,IT,easy,option_1,In tài liệu,Lưu trữ tài liệu,Xóa tài liệu,Quét tài liệu
Internet Explorer là sản phẩm của công ty nào?,IT,easy,option_2,Google,Microsoft,Apple,Mozilla
Để lưu tệp trong Word ta dùng lệnh gì?,IT,easy,option_2,Ctrl + P,Ctrl + S,Ctrl + C,Ctrl + V
Tính năng chính của hệ điều hành Linux là gì?,IT,medium,option_2,Dễ sử dụng,Mã nguồn mở,Đóng phí,Không có bảo mật
JavaScript chủ yếu được sử dụng để làm gì?,IT,medium,option_3,Thiết kế cơ sở dữ liệu,Lập trình ứng dụng,Tạo hiệu ứng trang web,Quản lý hệ điều hành
Mô hình nào là cơ sở cho giao thức TCP/IP?,IT,medium,option_1,OSI,HTML,CSS,ISO
Phần mềm nào giúp quản lý cơ sở dữ liệu?,IT,medium,option_2,Windows,MySQL,Photoshop,Dreamweaver
Câu lệnh SELECT * FROM dùng trong ngôn ngữ nào?,IT,medium,option_3,Python,HTML,SQL,JavaScript
Đâu là một phần mềm thiết kế đồ họa?,IT,medium,option_3,SQL,Excel,Illustrator,Word
Địa chỉ IP dùng để làm gì?,IT,medium,option_1,Định danh thiết bị mạng,Lưu trữ dữ liệu,Tăng tốc máy tính,Lập trình web
Một byte bằng bao nhiêu bit?,IT,medium,option_1,8,16,24,32
Mục đích của lệnh ping trong mạng là gì?,IT,medium,option_2,Tắt máy,Kiểm tra kết nối mạng,Xóa bộ nhớ đệm,Khởi động lại mạng
Phần mềm nào là hệ quản trị cơ sở dữ liệu?,IT,medium,option_3,Excel,Word,MySQL,PowerPoint
Công cụ nào dùng để lập trình Python?,IT,medium,option_2,Dreamweaver,Visual Studio Code,Photoshop,Adobe XD
JSON là viết tắt của gì?,IT,medium,option_1,JavaScript Object Notation,JavaScript Over Network,Java Session Node,Java System Over Network
Phần cứng lưu trữ dữ liệu lâu dài là gì?,IT,medium,option_3,RAM,CPU,Ổ cứng,GPU
Đâu là hệ điều hành phổ biến cho máy chủ web?,IT,medium,option_2,Windows 10,Linux,macOS,Android
HTTP là viết tắt của gì?,IT,medium,option_1,Hyper Text Transfer Protocol,Hyper Transfer Text Protocol,Hyper Text Type Protocol,Hyper Type Transfer Protocol
Đâu là một phần mềm máy ảo?,IT,medium,option_2,Chrome,Oracle VirtualBox,MS Word,FileZilla
Bộ vi xử lý CPU nào phổ biến nhất hiện nay?,IT,medium,option_1,Intel,ATI,Nvidia,Xerox
Ngôn ngữ nào là ngôn ngữ lập trình hướng đối tượng?,IT,medium,option_3,HTML,CSS,Python,SQL
IDE nào phổ biến cho lập trình Java?,IT,medium,option_1,Eclipse,Photoshop,Paint,PowerPoint
Giao thức bảo mật nào sau đây bảo vệ dữ liệu qua mạng?,IT,medium,option_3,FTP,HTTP,HTTPS,POP3
Đâu là một ví dụ của phần mềm mã nguồn mở?,IT,medium,option_3,Microsoft Office,Adobe Photoshop,LibreOffice,iTunes
Để tạo ứng dụng Android ngôn ngữ nào thường được sử dụng?,IT,medium,option_2,Python,Java,Ruby,C++
Đơn vị đo dung lượng nào lớn nhất?,IT,medium,option_4,Megabyte,Gigabyte,Kilobyte,Terabyte
Dùng cổng nào để giao tiếp FTP?,IT,medium,option_1,21,22,80,443
IDE nào được dùng nhiều nhất cho lập trình Python?,IT,medium,option_2,NetBeans,PyCharm,Photoshop,Illustrator
Cloud computing là gì?,IT,medium,option_2,Máy tính cá nhân,Lưu trữ và xử lý dữ liệu trực tuyến,Mạng nội bộ,Lưu trữ dữ liệu ngoại tuyến
API là viết tắt của gì?,IT,medium,option_2,Application Program Integration,Application Programming Interface,Application Process Interface,Application Process Integration
Đâu là một giao thức mạng không dây?,IT,medium,option_2,TCP/IP,Wi-Fi,Ethernet,FTP
Đâu là một hệ quản trị cơ sở dữ liệu quan hệ?,IT,medium,option_2,Microsoft Word,MySQL,Adobe Reader,Photoshop
Hệ thống gì sử dụng ngôn ngữ lập trình SQL để quản lý dữ liệu?,IT,medium,option_2,Quản lý file hệ thống,Cơ sở dữ liệu,Hệ thống mạng,Hệ điều hành
Trong cơ sở dữ liệu PRIMARY KEY là gì?,IT,medium,option_3,Một bảng mới,Một kiểu dữ liệu,Một cột duy nhất,Một loại truy vấn
Đâu là một công cụ phát triển phần mềm của Microsoft?,IT,medium,option_3,Xcode,Eclipse,Visual Studio,NetBeans
Python là ngôn ngữ gì?,IT,medium,option_3,Lập trình bậc thấp,Lập trình bậc trung,Lập trình bậc cao,Hệ điều hành
Trong mạng máy tính DNS có chức năng gì?,IT,medium,option_2,Lưu trữ dữ liệu,Tìm kiếm địa chỉ IP,Lập trình ứng dụng,Quản lý tài nguyên
Để thiết kế website động ngôn ngữ nào thường được sử dụng?,IT,medium,option_2,HTML,JavaScript,SQL,CSS
Đâu là một phần mềm quản lý phiên bản?,IT,medium,option_3,Notepad,FileZilla,Git,Blender
Trong SQL DELETE và TRUNCATE khác nhau như thế nào?,IT,medium,option_2,DELETE nhanh hơn,TRUNCATE nhanh hơn,DELETE luôn xóa tất cả,TRUNCATE giữ lại dữ liệu
AI là viết tắt của từ gì?,IT,medium,option_1,Artificial Intelligence,Advanced Interface,Application Integration,Artificial Information
Chức năng chính của giao thức HTTP là gì?,IT,medium,option_2,Gửi email,Truyền tải tài liệu,Tải dữ liệu xuống,Chia sẻ phần cứng
Đâu là một loại mã nguồn mở dành cho hệ điều hành di động?,IT,medium,option_2,iOS,Android,Windows Mobile,Blackberry
Đơn vị tốc độ truyền dữ liệu là gì?,IT,medium,option_4,Hertz,Bits,Bytes,Bitrate
Cấu trúc dữ liệu nào sử dụng nguyên tắc “Last In First Out” (LIFO)?,IT,medium,option_3,Hàng đợi,Danh sách liên kết,Ngăn xếp,Mảng
Giao thức nào thường được sử dụng để gửi email?,IT,medium,option_3,HTTP,FTP,SMTP,TCP
JSON thường được sử dụng trong loại ứng dụng nào?,IT,medium,option_2,Trò chơi,Ứng dụng web,Xử lý ảnh,Thiết kế đồ họa
Đâu là công cụ phổ biến để quản lý máy chủ?,IT,medium,option_4,Illustrator,Photoshop,MySQL,cPanel
HTML là viết tắt của gì?,IT,medium,option_3,Hyper Text Machine Language,Hyperlink Text Machine Language,Hyper Text Markup Language,Hyperlink Text Markup Language
Ngôn ngữ nào phổ biến nhất trong phát triển hệ điều hành?,IT,medium,option_3,Python,Java,C,Ruby
Trong CSS thuộc tính nào để thay đổi màu nền?,IT,medium,option_1,background-color,color,border-color,font-color
Đâu là một giao thức truyền file?,IT,medium,option_1,FTP,DNS,HTTP,POP
Một tính năng chính của các hệ điều hành UNIX là gì?,IT,medium,option_3,Giao diện người dùng dễ dùng,Khả năng đa nhiệm,Bảo mật cao,Chạy trên mọi thiết bị
Cấu trúc dữ liệu nào tối ưu cho việc tìm kiếm nhanh?,IT,hard,option_3,Mảng,Danh sách liên kết,Cây nhị phân,Ngăn xếp
